title,排名,国家,州省,城市,性质,成立年份,宗教信仰,学生人数,学校分类,网址
牛津大学 ,QS世界：2(6)；Times国内：1,英国,英格兰,牛津,公立，男女合校,确切年份不可考，授课记录始自1096年*(1),无,"25,905（含全日制与非全日制）*(3)",综合性大学,www.ox.ac.uk
川特大学 ,6,加拿大,安大略省,彼得伯勒、奥沙瓦,公立，男女合校,1964年,无,"8,321",基础类大学,www.trentu.ca
西密歇根大学 ,207,美国,密歇根州,卡拉马祖,公立，男女合校,1903,无,"23,556",综合性大学,www.wmich.edu
圣地亚哥（加州） ,,美国,,,,,,,,
博林格林州立大学 ,202,美国,俄亥俄州,博林格林,公立，男女合校,1910,无,"16,908",综合性大学,www.bgsu.edu
马凯特大学 ,USNEWS：90*(2),美国,威斯康辛州,密尔沃基,私立，男女合校*(3),1881,耶稣会,"11,491",全国性大学,"www.marquette.edu,*(3)"
霍夫斯特拉大学 ,132*(2),美国,"纽约州,*(1)",汉普斯特德*(1),私立，男女合校*(1),1935*(1),无,"10,814",综合性大学,www.hofstra.edu
西英格兰大学 ,60,英国,英格兰,布里斯托,公立，男女合校,1970年,无,"30,390",综合性大学,www.uwe.ac.uk
美国天主大学 ,120*(3),美国,"哥伦比亚,特区",华盛顿,私立，男女合校,1887年*(1),天主教,"6,881",全国性大学,www.cua.edu*(6)
索尔福德大学 ,98,英国,英格兰,索尔福德,公立，男女合校,1850年,无,"21,755",综合性大学,www.salford.ac.uk
南加州大学 ,21*(2),美国,加利福尼亚州,洛杉矶,私立，男女合校,1880*(3),无,"43,401",全国性大学,www.usc.edu
中国药科大学 ,,,,,,,,,,
湖首大学 ,8,加拿大,安大略省,雷湾,公立，男女合校,1865年,无,"7,848",基础类大学,www.lakeheadu.ca
东卡罗来纳大学 ,207,美国,北卡罗来纳州,格林维尔,公立，男女合校,1907,无,"28,289",综合性大学,www.ecu.edu
弗莱贝格工业大学 ,,德国,,弗莱贝格,公立，男女合校,1765年*(1),无,"5,600(2013年)*(4)",综合性大学，可授予博士学位,tu-freiberg.de
诺丁汉特伦特大学 ,61,英国,英格兰,诺丁汉,公立，男女合校,1843年,无,"27,930",综合性大学,www.ntu.ac.uk
奥克兰大学（美国） ,RNP,美国,密西西比州,罗切斯特,公立，男女合校,1957,无,"20,711",综合性大学,www.oakland.edu
布拉德福德大学 ,84,英国,英格兰,布拉德福德,公立，男女合校,1957年,无,"14,210",综合性大学,www.brad.ac.uk
南昌大学 ,,,,,,,,,,
温莎大学 ,12,加拿大,安大略省,温莎,公立，男女合校,1857年,无,"13,668",综合类大学,www.uwindsor.ca
维拉诺瓦大学 ,46,美国,宾夕法尼亚州,维拉诺瓦,私立，男女合校,1842年,天主教,"10,925",综合性大学,www.villanova.edu
天津医科大学 ,,,,,,,,,,
暨南大学 ,,,,,,,,,,
马萨诸塞大学洛厄尔分校 ,156,美国,马萨诸塞州,洛厄尔,公立，男女合校,1894,无,"17,450",综合性大学,www.uml.edu
西南交通大学 ,,,,,,,,,,
